IdTransaccion,Fecha,IdCategoria,IdProducto,Producto,Cantidad,PrecioUnitario,TotalVenta,,
1,8/5/2024,3,31,Refrigerador Whirlpool 700L,1,$3 ,999.99,$3 ,999.99
2,8/5/2024,4,32,Laptop Asus ROG i9,1,$2 ,499.99,$2 ,499.99
3,8/5/2024,5,33,Smartphone OnePlus 10 Pro,1,$999.99 ,$999.99 ,,
4,8/5/2024,1,34,"Televisor 95"" 8K",1,$5 ,999.99,$5 ,999.99
5,8/5/2024,2,35,Lavadora Samsung 16kg,1,$2 ,999.99,$2 ,999.99
6,8/5/2024,3,36,Refrigerador LG Instaview 600L,1,$4 ,499.99,$4 ,499.99
7,8/5/2024,4,37,Laptop Razer Blade i7,1,$2 ,799.99,$2 ,799.99
8,8/5/2024,5,38,Smartphone iPhone 14 Pro,1,$1 ,499.99,$1 ,499.99
9,8/5/2024,1,39,"Televisor 110"" 8K",1,$9 ,999.99,$9 ,999.99
10,8/5/2024,2,40,Secadora Bosch 12kg,1,$2 ,199.99,$2 ,199.99
11,8/5/2024,3,41,Refrigerador Whirlpool 800L,1,$4 ,299.99,$4 ,299.99
12,8/5/2024,4,42,Laptop Dell XPS i9,1,$3 ,99.99,$3 ,99.99
13,8/5/2024,5,43,Smartphone Google Pixel 7 Pro,1,$1 ,99.99,$1 ,99.99
14,8/5/2024,1,44,"Televisor LG OLED 65""",1,$3 ,799.99,$3 ,799.99
15,8/5/2024,2,45,Lavadora Bosch 18kg,1,$3 ,499.99,$3 ,499.99
16,8/5/2024,3,46,Refrigerador Samsung Bespoke 700L,1,$4 ,999.99,$4 ,999.99
17,8/5/2024,4,47,Laptop Alienware i7,1,$2 ,699.99,$2 ,699.99
18,8/5/2024,5,48,Smartphone Samsung Galaxy S23 Ultra,1,$1 ,399.99,$1 ,399.99
19,8/5/2024,1,49,"Televisor Sony BRAVIA 85""",1,$6 ,299.99,$6 ,299.99
20,8/5/2024,2,50,Secadora LG TurboWash 14kg,1,$2 ,499.99,$2 ,499.99
21,8/5/2024,3,51,Refrigerador Mabe 550L,1,$3 ,799.99,$3 ,799.99
22,8/5/2024,4,52,Laptop Lenovo Legion i9,1,$3 ,199.99,$3 ,199.99
23,8/5/2024,5,53,Smartphone Oppo Find X5 Pro,1,$999.99 ,$999.99 ,,
24,8/5/2024,1,54,"Televisor Samsung QLED 75""",1,$4 ,499.99,$4 ,499.99
25,8/5/2024,2,55,Lavadora Electrolux 20kg,1,$3 ,799.99,$3 ,799.99
26,8/5/2024,3,56,Refrigerador LG InstaView 700L,1,$5 ,99.99,$5 ,99.99
27,8/5/2024,4,57,Laptop Asus ZenBook Pro i7,1,$2 ,899.99,$2 ,899.99
28,8/5/2024,5,58,Smartphone Apple iPhone 14 Plus,1,$1 ,99.99,$1 ,99.99
29,8/5/2024,1,59,"Televisor Sony X950H 85""",1,$6 ,999.99,$6 ,999.99
30,8/5/2024,2,60,Secadora Samsung AI Control 12kg,1,$2 ,699.99,$2 ,699.99
31,8/5/2024,3,61,Refrigerador Whirlpool 900L,1,$4 ,999.99,$4 ,999.99
32,8/5/2024,4,62,Laptop HP Spectre x360 i7,1,$3 ,499.99,$3 ,499.99
33,8/5/2024,5,63,Smartphone Huawei P50 Pro,1,$999.99 ,$999.99 ,,
34,8/5/2024,1,64,"Televisor LG OLED C1 77""",1,$7 ,999.99,$7 ,999.99
35,8/5/2024,2,65,Lavadora Siemens 24kg,1,$4 ,399.99,$4 ,399.99
36,8/5/2024,3,66,Refrigerador Electrolux 800L,1,$5 ,499.99,$5 ,499.99
37,8/5/2024,4,67,Laptop Acer Predator Triton i9,1,$3 ,999.99,$3 ,999.99
38,8/5/2024,5,68,Smartphone OnePlus 11 Pro,1,$1 ,199.99,$1 ,199.99
39,8/5/2024,1,69,"Televisor Samsung Neo QLED 85""",1,$8 ,499.99,$8 ,499.99
40,8/5/2024,2,70,Secadora Miele TwinDos 16kg,1,$3 ,299.99,$3 ,299.99
41,8/5/2024,3,71,Refrigerador GE Profile 900L,1,$5 ,999.99,$5 ,999.99
42,8/5/2024,4,72,Laptop Razer Blade Pro 17 i9,1,$4 ,499.99,$4 ,499.99
43,8/5/2024,5,73,Smartphone Google Pixel 7a,1,$599.99 ,$599.99 ,,
44,8/5/2024,1,74,"Televisor Sony X950H 75""",1,$5 ,999.99,$5 ,999.99
45,8/5/2024,2,75,Lavadora LG ThinQ 21kg,1,$3 ,999.99,$3 ,999.99
46,8/5/2024,3,76,Refrigerador Samsung Bespoke 800L,1,$6 ,499.99,$6 ,499.99
47,8/5/2024,4,77,Laptop Dell Alienware X17 i9,1,$4 ,999.99,$4 ,999.99
48,8/5/2024,5,78,Smartphone Apple iPhone 14 Pro Max,1,$1 ,599.99,$1 ,599.99
49,8/5/2024,1,79,"Televisor LG OLED G2 83""",1,$12 ,999.99,$12 ,999.99
50,8/5/2024,2,80,Secadora Electrolux Perfection 18kg,1,$3 ,799.99,$3 ,799.99
